Category,Jenn Mike Category,,,Period
Bonus,_Income,_Income: Bonus,,2024-01
Freelance Income,_Income,_Income: Freelance Income,,2024-02
Inheritance,_Income,_Income: Inheritance,,2024-03
Interest Income,_Income,_Income: Interest Income,,2024-04
Paycheck,_Income,_Income: Paycheck,,2024-05
Reimbursement,_Income,_Income: Reimbursement,,2024-06
Rental Income,_Income,_Income: Rental Income,,2024-07
Returned Purchase,_Income,_Income: Returned Purchase,,2024-08
_Income,_Income,_Income: _Income,,2024-09
,,,,2024-10
Auto Insurance,Auto & Transport,Auto & Transport: Auto Insurance,,2024-11
Auto Payment,Auto & Transport,Auto & Transport: Auto Payment,,2024-12
Gas & Fuel,Auto & Transport,Auto & Transport: Gas & Fuel,,2025-01
Parking,Auto & Transport,Auto & Transport: Parking,,2025-02
Public Transportation,Auto & Transport,Auto & Transport: Public Transportation,,2025-03
Registration,Auto & Transport,Auto & Transport: Registration,,2025-04
Service & Parts,Auto & Transport,Auto & Transport: Service & Parts,,2025-05
Tolls,Auto & Transport,Auto & Transport: Tolls,,2025-06
Auto & Transport,Auto & Transport,Auto & Transport: Auto & Transport,,2025-07
Home Phone,Bills & Utilities,Bills & Utilities: Home Phone,,2025-08
Internet,Bills & Utilities,Bills & Utilities: Internet,,2025-09
Mobile Phone,Bills & Utilities,Bills & Utilities: Mobile Phone,,2025-10
Television,Bills & Utilities,Bills & Utilities: Television,,2025-11
Utilities,Bills & Utilities,Bills & Utilities: Utilities,,2025-12
Bills & Utilities,Bills & Utilities,Bills & Utilities: Bills & Utilities,,2026-01
Amusement,Entertainment,Entertainment: Amusement,,2026-02
Arts,Entertainment,Entertainment: Arts,,2026-03
Movies & DVDs,Entertainment,Entertainment: Movies & DVDs,,2026-04
Music,Entertainment,Entertainment: Music,,2026-05
Newspapers & Magazines,Entertainment,Entertainment: Newspapers & Magazines,,2026-06
Entertainment,Entertainment,Entertainment: Entertainment,,2026-07
ATM Fee,Fees & Charges,Fees & Charges: ATM Fee,,2026-08
Bank Fee,Fees & Charges,Fees & Charges: Bank Fee,,2026-09
Finance Charge,Fees & Charges,Fees & Charges: Finance Charge,,2026-10
Late Fee,Fees & Charges,Fees & Charges: Late Fee,,2026-11
Service Fee,Fees & Charges,Fees & Charges: Service Fee,,2026-12
Trade Commissions,Fees & Charges,Fees & Charges: Trade Commissions,,2027-01
Fees & Charges,Fees & Charges,Fees & Charges: Fees & Charges,,2027-02
Financial Advisor,Financial,Financial: Financial Advisor,,2027-03
Life Insurance,Financial,Financial: Life Insurance,,2027-04
Financial,Financial,Financial: Financial,,2027-05
Alcohol & Bars,Food & Dining,Food & Dining: Alcohol & Bars,,2027-06
Coffee Shops,Food & Dining,Food & Dining: Coffee Shops,,2027-07
Fast Food,Food & Dining,Food & Dining: Fast Food,,2027-08
Groceries,Food & Dining,Food & Dining: Groceries,,2027-09
Restaurants,Food & Dining,Food & Dining: Restaurants,,2027-10
Food & Dining,Food & Dining,Food & Dining: Food & Dining,,2027-11
Charity,Gifts & Donations,Gifts & Donations: Charity,,2027-12
Gift,Gifts & Donations,Gifts & Donations: Gift,,2028-01
Gifts & Donations,Gifts & Donations,Gifts & Donations: Gifts & Donations,,2028-02
Dentist,Health & Fitness,Health & Fitness: Dentist,,2028-03
Doctor,Health & Fitness,Health & Fitness: Doctor,,2028-04
Eyecare,Health & Fitness,Health & Fitness: Eyecare,,2028-05
Gym,Health & Fitness,Health & Fitness: Gym,,2028-06
Health Insurance,Health & Fitness,Health & Fitness: Health Insurance,,2028-07
Pharmacy,Health & Fitness,Health & Fitness: Pharmacy,,2028-08
Sports,Health & Fitness,Health & Fitness: Sports,,2028-09
Dental Insurance,Health & Fitness,Health & Fitness: Dental Insurance,,2028-10
Health & Fitness,Health & Fitness,Health & Fitness: Health & Fitness,,2028-11
Furnishings,Home,Home: Furnishings,,2028-12
Home Improvement,Home,Home: Home Improvement,,2029-01
Home Insurance,Home,Home: Home Insurance,,2029-02
Home Services,Home,Home: Home Services,,2029-03
Home Supplies,Home,Home: Home Supplies,,2029-04
Lawn & Garden,Home,Home: Lawn & Garden,,2029-05
Mortgage & Rent,Home,Home: Mortgage & Rent,,2029-06
Home Goods,Home,Home: Home Goods,,2029-07
Moving Expenses,Home,Home: Moving Expenses,,2029-08
Renter's Insurance,Home,Home: Renter's Insurance,,2029-09
Security Deposit,Home,Home: Security Deposit,,2029-10
Home,Home,Home: Home,,2029-11
Allowance,Kids,Kids: Allowance,,2029-12
Baby Supplies,Kids,Kids: Baby Supplies,,2030-01
Babysitter & Daycare,Kids,Kids: Babysitter & Daycare,,2030-02
Child Support,Kids,Kids: Child Support,,2030-03
Kids Activities,Kids,Kids: Kids Activities,,2030-04
Toys,Kids,Kids: Toys,,2030-05
Kids,Kids,Kids: Kids,,2030-06
Misc Expenses,Misc Expenses,Misc Expenses: Misc Expenses,,2030-07
Hair,Personal Care,Personal Care: Hair,,2030-08
Laundry,Personal Care,Personal Care: Laundry,,2030-09
Spa & Massage,Personal Care,Personal Care: Spa & Massage,,2030-10
General Hygiene,Personal Care,Personal Care: General Hygiene,,2030-11
Personal Care,Personal Care,Personal Care: Personal Care,,2030-12
Books,Shopping,Shopping: Books,,2031-01
Clothing,Shopping,Shopping: Clothing,,2031-02
Electronics & Software,Shopping,Shopping: Electronics & Software,,2031-03
Hobbies,Shopping,Shopping: Hobbies,,2031-04
Sporting Goods,Shopping,Shopping: Sporting Goods,,2031-05
Shopping,Shopping,Shopping: Shopping,,2031-06
Local Tax,Taxes,Taxes: Local Tax,,2031-07
Property Tax,Taxes,Taxes: Property Tax,,2031-08
Sales Tax,Taxes,Taxes: Sales Tax,,2031-09
Federal Tax,Taxes,Taxes: Federal Tax,,2031-10
State Tax,Taxes,Taxes: State Tax,,2031-11
Taxes,Taxes,Taxes: Taxes,,2031-12
Air Travel,Travel,Travel: Air Travel,,2032-01
Hotel,Travel,Travel: Hotel,,2032-02
Rental Car & Taxi,Travel,Travel: Rental Car & Taxi,,2032-03
Vacation,Travel,Travel: Vacation,,2032-04
Travel,Travel,Travel: Travel,,2032-05
Cash & ATM,Cash & ATM,Cash & ATM: Cash & ATM,,2032-06
,,,,2032-07
,,,,2032-08
,,,,2032-09
,,,,2032-10
,,,,2032-11
,,,,2032-12
,,,,2033-01
,,,,2033-02
,,,,2033-03
,,,,2033-04
,,,,2033-05
,,,,2033-06
,,,,2033-07
,,,,2033-08
,,,,2033-09
,,,,2033-10
,,,,2033-11
,,,,2033-12
,,,,2034-01
,,,,2034-02
,,,,2034-03
,,,,2034-04
,,,,2034-05
,,,,2034-06
,,,,2034-07
,,,,2034-08
,,,,2034-09
,,,,2034-10
,,,,2034-11
,,,,2034-12
,,,,2035-01
,,,,2035-02
,,,,2035-03
,,,,2035-04
,,,,2035-05
,,,,2035-06
,,,,2035-07
,,,,2035-08
,,,,2035-09
,,,,2035-10
,,,,2035-11
,,,,2035-12
,,,,2036-01
,,,,2036-02
,,,,2036-03
,,,,2036-04
,,,,2036-05
,,,,2036-06
,,,,2036-07
,,,,2036-08
,,,,2036-09
,,,,2036-10
,,,,2036-11
,,,,2036-12
,,,,2037-01
,,,,2037-02
,,,,2037-03
,,,,2037-04
,,,,2037-05
,,,,2037-06
,,,,2037-07
,,,,2037-08
,,,,2037-09
,,,,2037-10
,,,,2037-11
,,,,2037-12
,,,,2038-01
,,,,2038-02
,,,,2038-03
,,,,2038-04
,,,,2038-05
,,,,2038-06
,,,,2038-07
,,,,2038-08
,,,,2038-09
,,,,2038-10
,,,,2038-11
,,,,2038-12
,,,,2039-01
,,,,2039-02
,,,,2039-03
,,,,2039-04
,,,,2039-05
,,,,2039-06
,,,,2039-07
,,,,2039-08
,,,,2039-09
,,,,2039-10
,,,,2039-11
,,,,2039-12
,,,,2040-01
,,,,2040-02
,,,,2040-03
,,,,2040-04
,,,,2040-05
,,,,2040-06
,,,,2040-07
,,,,2040-08
,,,,2040-09
,,,,2040-10
,,,,2040-11
,,,,2040-12
,,,,2041-01
,,,,2041-02
,,,,2041-03
,,,,2041-04
,,,,2041-05
,,,,2041-06
,,,,2041-07
,,,,2041-08
,,,,2041-09
,,,,2041-10
,,,,2041-11
,,,,2041-12
,,,,2042-01
,,,,2042-02
,,,,2042-03
,,,,2042-04
,,,,2042-05
,,,,2042-06
,,,,2042-07
,,,,2042-08
,,,,2042-09
,,,,2042-10
,,,,2042-11
,,,,2042-12
,,,,2043-01
,,,,2043-02
,,,,2043-03
,,,,2043-04
,,,,2043-05
,,,,2043-06
,,,,2043-07
,,,,2043-08
,,,,2043-09
,,,,2043-10
,,,,2043-11
,,,,2043-12
,,,,2044-01
,,,,2044-02
,,,,2044-03
,,,,2044-04
,,,,2044-05
,,,,2044-06
,,,,2044-07
,,,,2044-08
,,,,2044-09
,,,,2044-10
,,,,2044-11
,,,,2044-12
,,,,2045-01
,,,,2045-02
,,,,2045-03
,,,,2045-04
,,,,2045-05
,,,,2045-06
,,,,2045-07
,,,,2045-08
,,,,2045-09
,,,,2045-10
,,,,2045-11
,,,,2045-12
,,,,2046-01
,,,,2046-02
,,,,2046-03
,,,,2046-04
,,,,2046-05
,,,,2046-06
,,,,2046-07
,,,,2046-08
,,,,2046-09
,,,,2046-10
,,,,2046-11
,,,,2046-12
,,,,2047-01
,,,,2047-02
,,,,2047-03
,,,,2047-04
,,,,2047-05
,,,,2047-06
,,,,2047-07
,,,,2047-08
,,,,2047-09
,,,,2047-10
,,,,2047-11
,,,,2047-12
,,,,2048-01
,,,,2048-02
,,,,2048-03
,,,,2048-04
,,,,2048-05
,,,,2048-06
,,,,2048-07
,,,,2048-08
,,,,2048-09
,,,,2048-10
,,,,2048-11
,,,,2048-12
,,,,2049-01
,,,,2049-02
,,,,2049-03
,,,,2049-04
,,,,2049-05
,,,,2049-06
,,,,2049-07
,,,,2049-08
,,,,2049-09
,,,,2049-10
,,,,2049-11
,,,,2049-12
,,,,2050-01
,,,,2050-02
,,,,2050-03
,,,,2050-04
,,,,2050-05
,,,,2050-06
,,,,2050-07
