"Creation Date",Currency,"Direct Debit Refund Amount","Disbursement Type","Order ID","Payment Status",Quantity,"Refund Amount","Refund Date","Reversal Amount State","Reversal Reason","Reversal Status",Website
2023-01-31T15:30:03.650Z,CAD,0,Refund,702-9426635-8794666,Completed,1,22.59,2023-01-31T18:57:38.137Z,Final,"Customer return",Completed,Amazon.ca
2024-04-26T14:47:40.329Z,CAD,0,Refund,702-5051805-5204222,Completed,1,112.91,2024-04-26T18:00:16.299Z,Final,"Customer return",Completed,Amazon.ca
2024-07-14T01:29:47.662Z,CAD,0,Refund,702-1544700-0591415,Completed,1,6.19,2024-07-14T04:19:36.111Z,Final,"Export fee reduced",Completed,Amazon.ca
2025-12-11T19:15:43.363Z,CAD,0,Refund,702-2015527-9007436,Completed,1,45.13,2025-12-11T22:20:42.890Z,Final,"Customer return",Completed,Amazon.ca
2014-12-13T16:57:00Z,CAD,0,Refund,702-9625392-0595441,Completed,1,6.77,2014-12-13T20:00:12Z,Final,"Item not received",Completed,Amazon.ca
2026-03-16T18:33:43.455Z,CAD,0,Refund,702-2471509-9764238,Completed,1,16.45,2026-03-16T21:29:55.790Z,Final,"Customer return",Completed,Amazon.ca
2024-11-19T17:30:08.199Z,CAD,0,Refund,701-3747962-3653806,Completed,1,12.42,2024-11-19T20:55:58.535Z,Final,"Customer return",Completed,Amazon.ca
2024-12-14T14:14:17.240Z,CAD,0,Refund,702-2202943-3397850,Completed,1,24,2024-12-14T17:12:15.240Z,Final,"Wrong item was sent",Completed,Amazon.ca
2025-09-20T15:56:50.588Z,CAD,0,Refund,702-9183816-2091433,Completed,1,163.27,2025-09-20T18:59:56.376Z,Final,"Customer return",Completed,Amazon.ca
2025-07-20T01:47:55.665Z,CAD,0,Refund,702-2487300-6973824,Completed,1,28.47,2025-07-20T03:49:07.870Z,Final,"Account adjustment",Completed,Amazon.ca
2025-07-20T01:47:55.665Z,CAD,0,Refund,702-2487300-6973824,Completed,1,203.38,2025-07-14T00:50:26.698Z,Final,"Account adjustment",Completed,Amazon.ca
2025-07-13T21:36:30.804Z,CAD,0,Refund,702-2487300-6973824,Completed,1,28.47,2025-07-20T03:49:07.870Z,Final,"Customer return",Completed,Amazon.ca
2025-07-13T21:36:30.804Z,CAD,0,Refund,702-2487300-6973824,Completed,1,203.38,2025-07-14T00:50:26.698Z,Final,"Customer return",Completed,Amazon.ca
2022-10-03T07:22:38.694Z,CAD,0,Refund,702-0403276-4878608,Completed,1,46.16,2022-10-03T08:44:43.254Z,Final,"Refused to accept delivery",Completed,Amazon.ca
2026-02-24T17:01:02.971Z,CAD,0,Refund,702-5999115-3629057,Completed,2,51.82,2026-02-24T19:49:56.016Z,Final,"Customer return",Completed,Amazon.ca
2016-11-04T01:11:31Z,CAD,0,Refund,701-4729886-7134619,Completed,1,19.53,2016-11-04T03:32:28Z,Final,"Account adjustment",Completed,Amazon.ca
2024-12-31T23:57:27.361Z,CAD,0,Refund,702-2439483-6738648,Completed,1,169.49,2025-01-01T02:48:56.399Z,Final,"Customer return",Completed,Amazon.ca
2019-01-11T08:06:14.825Z,CAD,0,Refund,702-1141718-9444233,Completed,1,20.94,2019-01-11T10:39:25.380Z,Final,"Customer return",Completed,Amazon.ca
2023-12-27T16:54:58.183Z,CAD,0,Refund,702-8331299-7035435,Completed,1,20.31,2023-12-27T20:11:48.008Z,Final,"Customer return",Completed,Amazon.ca
2011-08-28T22:36:33Z,USD,0,Refund,105-9803036-7086646,Completed,1,5.8,2011-08-29T01:30:33Z,Final,"Export fee reduced",Completed,Amazon.com
2011-08-28T22:36:33Z,USD,0,Refund,105-9803036-7086646,Completed,1,15.25,2011-06-30T21:18:44Z,Final,"Export fee reduced",Completed,Amazon.com
2011-06-30T18:26:30Z,USD,0,Refund,105-9803036-7086646,Completed,1,5.8,2011-08-29T01:30:33Z,Final,"Item arrived late",Completed,Amazon.com
2011-06-30T18:26:30Z,USD,0,Refund,105-9803036-7086646,Completed,1,15.25,2011-06-30T21:18:44Z,Final,"Item arrived late",Completed,Amazon.com
2024-08-24T17:32:03.663Z,CAD,0,Refund,701-2165084-8760204,Completed,1,101.69,2024-08-24T20:39:49.033Z,Final,"Customer return",Completed,Amazon.ca
2025-04-21T15:14:39.651Z,CAD,0,Refund,702-8520552-6971432,Completed,1,82.73,2025-04-21T15:58:46.707Z,Final,"Customer return",Completed,Amazon.ca
2024-02-01T23:37:58.248Z,CAD,0,Refund,702-7260560-7486657,Completed,1,31.49,2024-02-02T03:00:14.960Z,Final,"Customer return",Completed,Amazon.ca
2024-04-30T15:43:30.789Z,CAD,0,Refund,702-8354079-7877840,Completed,1,53.1,2024-04-30T18:41:10.278Z,Final,"Customer return",Completed,Amazon.ca
2019-02-19T18:24:41.304Z,CAD,0,Refund,702-8596318-5012237,Completed,1,31.95,2019-02-19T20:56:02.477Z,Final,"Customer return",Completed,Amazon.ca
2023-08-24T17:11:26.437Z,CAD,0,Refund,701-1137898-0178646,Completed,1,13.89,2023-08-24T20:20:51.860Z,Final,"Customer return",Completed,Amazon.ca
2025-05-29T18:37:00.835Z,CAD,0,Refund,702-4035454-2297817,Completed,1,44.95,2025-05-29T21:51:40.142Z,Final,"Account adjustment",Completed,Amazon.ca
2024-09-07T16:50:18.204Z,CAD,0,Refund,702-5258885-7461029,Completed,1,112.99,2024-09-07T18:51:30.927Z,Final,"Customer return",Completed,Amazon.ca
2026-03-02T03:54:01.189Z,CAD,0,Refund,702-6727945-6560249,Completed,1,26.97,2026-03-02T05:01:02.537Z,Final,"Shipping address is undeliverable",Completed,Amazon.ca
2024-03-18T18:53:40.480Z,CAD,0,Refund,702-1596824-4397030,Completed,1,33.89,2024-03-18T21:51:25.903Z,Final,"Customer return",Completed,Amazon.ca
2026-01-12T21:06:51.675Z,CAD,0,Refund,702-6365795-3285811,Completed,1,22.59,2026-01-13T00:09:24.249Z,Final,"Customer return",Completed,Amazon.ca
