Date, Transaction Details, Funds Out, Funds In 
01/05/2026,MORTGAGE RMG Mortgage Corporation,1185.70,
01/07/2026,INTERNET BILL PAYMENT MASTERCARD ROGERS BANK,1550.28,
01/14/2026,PAYROLL DEPOSIT COMPUGEN INC.,,3292.77
01/19/2026,MISCELLANEOUS PAYMENTS EQUITABLE BANK CHEQUE,900.00,
01/19/2026,INTERNET BILL PAYMENT MASTERCARD ROGERS BANK,739.99,
01/28/2026, INTEREST,,0.10
01/30/2026,PAYROLL DEPOSIT COMPUGEN INC.,,3584.19
01/30/2026,UTILITY BILL PAYMENT ENBRIDGE CHEQUE,106.40,
02/03/2026,MORTGAGE RMG Mortgage Corporation,1185.70,
02/06/2026, TRANSFER OUT,6679.64,
02/11/2026,EFT CREDIT EQUITABLE BANK,,6127.00
02/13/2026,PAYROLL DEPOSIT COMPUGEN INC.,,3292.77
02/16/2026,INTERNET BILL PAYMENT MASTERCARD ROGERS BANK,2201.73,
02/17/2026,MISCELLANEOUS PAYMENTS EQUITABLE BANK CHEQUE,1450.00,
02/25/2026, INTEREST,,0.10
02/26/2026,INTERNET BILL PAYMENT MASTERCARD ROGERS BANK,545.22,
02/27/2026,PAYROLL DEPOSIT COMPUGEN INC.,,3584.19
03/03/2026,MORTGAGE RMG Mortgage Corporation,1185.70,
03/03/2026, INTERAC E-TRANSFER SEND Jenn Gordon,29.99,
03/11/2026,UTILITY BILL PAYMENT ENBRIDGE CHEQUE,160.69,
03/11/2026,INVESTMENT Wealthsimple Investments Inc. CHEQUE,5000.00,
03/11/2026,INTERNET BILL PAYMENT MASTERCARD ROGERS BANK,730.00,
03/19/2026,PAYROLL DEPOSIT LENDING LOOP,,110.77
03/23/2026,EFT CREDIT MANULIFE,,119.85
03/26/2026,INVESTMENT Wealthsimple Investments Inc. CHEQUE,5000.00,
03/30/2026, INTEREST,,0.10
04/09/2026,INVESTMENT Wealthsimple Investments Inc. CHEQUE,4728.00,
04/13/2026, INTERAC E-TRANSFER RECEIVE JENNIFER GORDON,,225.71
04/14/2026,INVESTMENT Wealthsimple Investments Inc. CHEQUE,225.71,
04/29/2026, INTEREST,,0.01
