"date","transaction","description","amount","balance","currency"
"2026-07-01","INT","Interest earned","19.53","8729.98","CAD"
"2026-07-02","AFT_OUT","Pre-authorized Debit to RMG MTG","-1185.7","7544.28","CAD"
"2026-07-03","AFT_IN","Direct deposit from MANULIFE","300.0","7844.28","CAD"
"2026-07-06","OBP_OUT","Online bill payment for ROGERS BANK-MASTERCARD, account ∙∙∙∙0634 (executed at 2026-07-06)","-1450.0","6394.28","CAD"
"2026-07-07","AFT_IN","Direct deposit from MANULIFE","1000.0","7394.28","CAD"
"2026-07-07","E_TRFIN","Interac e-Transfer® Received from Jenn gordon","120.0","7514.28","CAD"
"2026-07-07","E_TRFOUT","Interac e-Transfer® Out to Jenn gordon","-1000.0","6514.28","CAD"
"2026-07-08","E_TRFIN","Interac e-Transfer® Received from Jenn gordon","250.0","6764.28","CAD"
"2026-07-09","E_TRFOUT","Interac e-Transfer® Out to Jenn gordon","-57.0","6707.28","CAD"
"2026-07-09","AFT_IN","Direct deposit from MANULIFE","57.0","6764.28","CAD"
"2026-07-13","TRFOUTTF","Transfer out","-725.0","6039.28","CAD"
"2026-07-13","AFT_IN","Direct deposit from COMPUGEN INC.","3365.04","9404.32","CAD"
"2026-07-14","OBP_OUT","Online bill payment for ROGERS BANK-MASTERCARD, account ∙∙∙∙0634 (executed at 2026-07-15)","-525.0","8879.32","CAD"
"2026-07-16","GIVEAWAY","Giveaway received","368.09","9247.41","CAD"
"2026-07-20","AFT_IN","Direct deposit from MANULIFE","541.27","9788.68","CAD"
"2026-07-18","OBP_OUT","Online bill payment for CIBC MASTERCARD, account ∙∙∙∙3915 (executed at 2026-07-18)","-200.0","9588.68","CAD"
"2026-07-23","OBP_OUT","Online bill payment for ROGERS BANK-MASTERCARD, account ∙∙∙∙0634 (executed at 2026-07-23)","-812.48","8776.2","CAD"
"2026-07-29","TRFOUTTF","Transfer out","-725.0","8051.2","CAD"
"2026-07-29","AFT_IN","Direct deposit from COMPUGEN INC.","3719.88","11771.08","CAD"
"2026-07-30","AFT_OUT","Pre-authorized Debit to Enbridge Gas","-164.14","11606.94","CAD"
